ID,STATE_CODE,STATE_NAME,CITY,COUNTY,LATITUDE,LONGITUDE
18165,NY,New York,Claryville,Sullivan,41.965666,-74.529287
18166,NY,New York,Claverack,Columbia,42.2183,-73.722844
18167,NY,New York,Clay,Onondaga,43.173734,-76.170748
18168,NY,New York,Clayton,Jefferson,44.217016,-76.107056
18169,NY,New York,Clayville,Oneida,42.97119,-75.206126
18170,NY,New York,Clemons,Washington,43.643544,-73.432613
18171,NY,New York,Cleveland,Oswego,43.243199,-75.853691
18172,NY,New York,Cleverdale,Warren,43.477222,-73.643056
18173,NY,New York,Clifton Park,Saratoga,42.849865,-73.785094
18174,NY,New York,Clifton Springs,Ontario,42.963175,-77.143975
18175,NY,New York,Climax,Greene,42.370808,-73.862459
18176,NY,New York,Clinton,Oneida,43.05856,-75.38079
18177,NY,New York,Clinton Corners,Dutchess,41.869262,-73.765867
18178,NY,New York,Clintondale,Ulster,41.674939,-74.055713
18179,NY,New York,Clockville,Madison,43.041667,-75.745
18180,NY,New York,Clyde,Wayne,43.085549,-76.872464
18181,NY,New York,Clymer,Chautauqua,42.055699,-79.668532
18182,NY,New York,Cobleskill,Schoharie,42.684047,-74.493866
18183,NY,New York,Cochecton,Sullivan,41.698208,-74.980687
18184,NY,New York,Cochecton Center,Sullivan,41.645776,-74.977116
18185,NY,New York,Coeymans,Albany,42.473889,-73.792778
18186,NY,New York,Coeymans Hollow,Albany,42.486537,-73.920588
18187,NY,New York,Cohocton,Steuben,42.500315,-77.499763
18188,NY,New York,Cohoes,Albany,42.775362,-73.712356
18189,NY,New York,Cold Brook,Herkimer,43.302391,-74.997651
18190,NY,New York,Cold Spring,Putnam,41.44142,-73.933485
18191,NY,New York,Cold Spring Harbor,Suffolk,40.863056,-73.450032
18192,NY,New York,Colden,Erie,42.655052,-78.692078
18193,NY,New York,College Point,Queens,40.785511,-73.844955
18194,NY,New York,Colliersville,Otsego,42.490833,-74.9825
18195,NY,New York,Collins,Erie,42.500082,-78.892974
18196,NY,New York,Collins Center,Erie,42.493611,-78.851667
18197,NY,New York,Colton,Saint Lawrence,44.50156,-74.932672
18198,NY,New York,Columbiaville,Columbia,42.318333,-73.753611
18199,NY,New York,Commack,Suffolk,40.843032,-73.279924
18200,NY,New York,Comstock,Washington,43.456706,-73.360607
18201,NY,New York,Conesus,Livingston,42.721643,-77.67469
18202,NY,New York,Conewango Valley,Cattaraugus,42.262467,-79.021956
18203,NY,New York,Congers,Rockland,41.148689,-73.94131
18204,NY,New York,Conklin,Broome,42.045429,-75.807624
18205,NY,New York,Connelly,Ulster,41.91,-73.991667
18206,NY,New York,Constable,Franklin,44.941688,-74.329713
18207,NY,New York,Constableville,Lewis,43.562982,-75.458406
18208,NY,New York,Constantia,Oswego,43.272751,-76.004155
18209,NY,New York,Coopers Plains,Steuben,42.182222,-77.141944
18210,NY,New York,Cooperstown,Otsego,42.70319,-74.918148
18211,NY,New York,Copake,Columbia,42.111329,-73.552588
18212,NY,New York,Copake Falls,Columbia,42.136737,-73.510773
18213,NY,New York,Copenhagen,Lewis,43.880136,-75.683913
18214,NY,New York,Copiague,Suffolk,40.677833,-73.396271
18215,NY,New York,Coram,Suffolk,40.884988,-73.006881
18216,NY,New York,Corbettsville,Broome,42.015556,-75.790833
18217,NY,New York,Corfu,Genesee,42.977734,-78.392906
18218,NY,New York,Corinth,Saratoga,43.242569,-73.836901
18219,NY,New York,Corning,Steuben,42.138331,-77.047546
18220,NY,New York,Cornwall,Orange,41.430944,-74.053877
18221,NY,New York,Cornwall On Hudson,Orange,41.443031,-74.016411
18222,NY,New York,Cornwallville,Greene,42.362874,-74.163092
